,QUERYID,EXPLAIN_TIME,QUERY,SORT_SHRHEAP_TOP
1119,3108,2024-10-08-09.16.24.852139,"SELECT TPCDS.CATALOG_SALES.CS_EXT_TAX , TPCDS.DATE_DIM2.D_DOW FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.DATE_DIM2.D_FY_WEEK_SEQ <= 8902 AND TPCDS.CATALOG_SALES.CS_EXT_SHIP_COST <= +00018.48",814
1120,3109,2024-10-08-09.16.31.970412,"SELECT TPCDS.WEB_SALES.WS_WEB_PAGE_SK , TPCDS.DATE_DIM2.D_DOM FROM TPCDS.WEB_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.WEB_SALES.WS_SHIP_DATE_SK WHERE TPCDS.WEB_SALES.WS_NET_PAID <= +00491.92 AND TPCDS.WEB_SALES.WS_ORDER_NUMBER >= 56331",205
1121,3111,2024-10-08-09.16.45.776077,"SELECT TPCDS.STORE.S_GMT_OFFSET , TPCDS.DATE_DIM2.D_WEEK_SEQ FROM TPCDS.STORE INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.STORE.S_CLOSED_DATE_SK WHERE TPCDS.DATE_DIM2.D_QOY <= 3 AND TPCDS.STORE.S_CLOSED_DATE_SK <= 2451044",18
1122,3114,2024-10-08-09.17.06.649793,"SELECT TPCDS.CUSTOMER.C_FIRST_SALES_DATE_SK , TPCDS.DATE_DIM2.D_FY_QUARTER_SEQ FROM TPCDS.CUSTOMER INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CUSTOMER.C_FIRST_SHIPTO_DATE_SK WHERE TPCDS.CUSTOMER.C_BIRTH_DAY >= 5 AND TPCDS.DATE_DIM2.D_DOW >= 5",328
1123,3118,2024-10-08-09.17.54.632559,"SELECT TPCDS.WEB_SALES.WS_EXT_WHOLESALE_COST , TPCDS.DATE_DIM2.D_FY_YEAR FROM TPCDS.WEB_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.WEB_SALES.WS_SHIP_DATE_SK WHERE TPCDS.WEB_SALES.WS_PROMO_SK <= 300 AND TPCDS.WEB_SALES.WS_NET_PAID <= +03086.72",945
1124,3120,2024-10-08-09.18.13.950537,"SELECT TPCDS.CUSTOMER.C_BIRTH_YEAR , TPCDS.DATE_DIM2.D_MOY FROM TPCDS.CUSTOMER INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CUSTOMER.C_FIRST_SHIPTO_DATE_SK WHERE TPCDS.CUSTOMER.C_CURRENT_HDEMO_SK <= 4317 AND TPCDS.CUSTOMER.C_CURRENT_ADDR_SK >= 18413",407
1125,3127,2024-10-08-09.19.13.605888,"SELECT TPCDS.WEB_SALES.WS_WAREHOUSE_SK , TPCDS.DATE_DIM2.D_MONTH_SEQ FROM TPCDS.WEB_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.WEB_SALES.WS_SHIP_DATE_SK WHERE TPCDS.WEB_SALES.WS_EXT_WHOLESALE_COST <= +04507.08 AND TPCDS.WEB_SALES.WS_QUANTITY <= 6",466
1126,3129,2024-10-08-09.19.30.983771,"SELECT TPCDS.CATALOG_PAGE.CP_CATALOG_PAGE_SK , TPCDS.DATE_DIM2.D_QOY FROM TPCDS.CATALOG_PAGE INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_PAGE.CP_END_DATE_SK WHERE TPCDS.DATE_DIM2.D_QUARTER_SEQ <= 683 AND TPCDS.DATE_DIM2.D_DOW = 3",165
1127,3133,2024-10-08-09.20.02.138370,"SELECT TPCDS.WEB_SITE.WEB_OPEN_DATE_SK , TPCDS.DATE_DIM2.D_FY_QUARTER_SEQ FROM TPCDS.WEB_SITE INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.WEB_SITE.WEB_CLOSE_DATE_SK WHERE TPCDS.WEB_SITE.WEB_SITE_SK >= 8 AND TPCDS.DATE_DIM2.D_MOY >= 8",18
1128,3135,2024-10-08-09.20.22.527132,"SELECT TPCDS.WEB_SALES.WS_EXT_WHOLESALE_COST , TPCDS.DATE_DIM2.D_SAME_DAY_LY FROM TPCDS.WEB_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.WEB_SALES.WS_SHIP_DATE_SK WHERE TPCDS.WEB_SALES.WS_SHIP_CUSTOMER_SK >= 27654 AND TPCDS.WEB_SALES.WS_EXT_LIST_PRICE >= +02298.00",945
1129,3139,2024-10-08-09.21.06.394321,"SELECT TPCDS.CUSTOMER.C_CURRENT_HDEMO_SK , TPCDS.DATE_DIM2.D_WEEK_SEQ FROM TPCDS.CUSTOMER INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CUSTOMER.C_FIRST_SHIPTO_DATE_SK WHERE TPCDS.DATE_DIM2.D_LAST_DOM <= 2487885 AND TPCDS.DATE_DIM2.D_FY_YEAR <= 2021",562
1130,3141,2024-10-08-09.21.27.934104,"SELECT TPCDS.CATALOG_SALES.CS_COUPON_AMT , TPCDS.DATE_DIM2.D_QUARTER_SEQ FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.DATE_DIM2.D_QOY <= 2 AND TPCDS.CATALOG_SALES.CS_SOLD_DATE_SK >= 2451542",490
1131,3142,2024-10-08-09.21.35.295713,"SELECT TPCDS.CUSTOMER.C_BIRTH_YEAR , TPCDS.DATE_DIM2.D_DOM FROM TPCDS.CUSTOMER INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CUSTOMER.C_FIRST_SHIPTO_DATE_SK WHERE TPCDS.CUSTOMER.C_FIRST_SALES_DATE_SK <= 2451650 AND TPCDS.DATE_DIM2.D_DOM <= 7",266
1132,3146,2024-10-08-09.22.02.668184,"SELECT TPCDS.CATALOG_PAGE.CP_CATALOG_NUMBER , TPCDS.DATE_DIM2.D_WEEK_SEQ FROM TPCDS.CATALOG_PAGE INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_PAGE.CP_END_DATE_SK WHERE TPCDS.DATE_DIM2.D_DOW = 2 AND TPCDS.DATE_DIM2.D_FY_WEEK_SEQ <= 10373",155
1133,3147,2024-10-08-09.22.09.623516,"SELECT TPCDS.CUSTOMER.C_BIRTH_DAY , TPCDS.DATE_DIM2.D_MOY FROM TPCDS.CUSTOMER INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CUSTOMER.C_FIRST_SHIPTO_DATE_SK WHERE TPCDS.CUSTOMER.C_CURRENT_ADDR_SK >= 44716 AND TPCDS.DATE_DIM2.D_DOW >= 4",145
1134,3148,2024-10-08-09.22.16.679763,"SELECT TPCDS.DATE_DIM2.D_MOY , TPCDS.WEB_SITE.WEB_OPEN_DATE_SK FROM TPCDS.DATE_DIM2 INNER JOIN TPCDS.WEB_SITE ON TPCDS.WEB_SITE.WEB_CLOSE_DATE_SK = TPCDS.DATE_DIM2.D_DATE_SK WHERE TPCDS.DATE_DIM2.D_MOY >= 2 AND TPCDS.DATE_DIM2.D_LAST_DOM <= 2449777",18
1135,3149,2024-10-08-09.22.24.833221,"SELECT TPCDS.CUSTOMER.C_CURRENT_HDEMO_SK , TPCDS.DATE_DIM2.D_DOM FROM TPCDS.CUSTOMER INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CUSTOMER.C_FIRST_SHIPTO_DATE_SK WHERE TPCDS.DATE_DIM2.D_SAME_DAY_LQ >= 2446205 AND TPCDS.CUSTOMER.C_BIRTH_YEAR >= 1927",547
1136,3150,2024-10-08-09.22.31.907602,"SELECT TPCDS.DATE_DIM2.D_FIRST_DOM , TPCDS.CATALOG_PAGE.CP_CATALOG_PAGE_SK FROM TPCDS.DATE_DIM2 INNER JOIN TPCDS.CATALOG_PAGE ON TPCDS.CATALOG_PAGE.CP_END_DATE_SK = TPCDS.DATE_DIM2.D_DATE_SK WHERE TPCDS.DATE_DIM2.D_FY_WEEK_SEQ <= 10373 AND TPCDS.DATE_DIM2.D_QOY <= 4",164
1137,3151,2024-10-08-09.22.38.802234,"SELECT TPCDS.STORE.S_DIVISION_ID , TPCDS.DATE_DIM2.D_FY_QUARTER_SEQ FROM TPCDS.STORE INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.STORE.S_CLOSED_DATE_SK WHERE TPCDS.DATE_DIM2.D_MOY <= 2 AND TPCDS.DATE_DIM2.D_DATE_SK <= 2468847",18
1138,3152,2024-10-08-09.22.46.033415,"SELECT TPCDS.CUSTOMER.C_BIRTH_DAY , TPCDS.DATE_DIM2.D_QUARTER_SEQ FROM TPCDS.CUSTOMER INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CUSTOMER.C_FIRST_SHIPTO_DATE_SK WHERE TPCDS.DATE_DIM2.D_FY_YEAR <= 2090 AND TPCDS.DATE_DIM2.D_MOY = 2",84
1139,3156,2024-10-08-09.23.14.493978,"SELECT TPCDS.CUSTOMER.C_CURRENT_CDEMO_SK , TPCDS.DATE_DIM2.D_WEEK_SEQ FROM TPCDS.CUSTOMER INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CUSTOMER.C_FIRST_SHIPTO_DATE_SK WHERE TPCDS.DATE_DIM2.D_QOY = 4 AND TPCDS.CUSTOMER.C_CURRENT_CDEMO_SK >= 780357",235
1140,3157,2024-10-08-09.23.21.542447,"SELECT TPCDS.CUSTOMER.C_CURRENT_HDEMO_SK , TPCDS.DATE_DIM2.D_DOW FROM TPCDS.CUSTOMER INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CUSTOMER.C_FIRST_SHIPTO_DATE_SK WHERE TPCDS.DATE_DIM2.D_DOM = 15 AND TPCDS.CUSTOMER.C_BIRTH_DAY = 20",47
1141,3159,2024-10-08-09.23.36.422454,"SELECT TPCDS.CATALOG_SALES.CS_SHIP_CDEMO_SK , TPCDS.DATE_DIM2.D_MONTH_SEQ FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_SHIP_MODE_SK = 5 AND TPCDS.DATE_DIM2.D_WEEK_SEQ <= 9947",886
1142,3164,2024-10-08-09.24.11.487067,"SELECT TPCDS.WEB_SITE.WEB_SITE_SK , TPCDS.DATE_DIM2.D_DATE_SK FROM TPCDS.WEB_SITE INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.WEB_SITE.WEB_CLOSE_DATE_SK WHERE TPCDS.DATE_DIM2.D_DOM <= 8 AND TPCDS.WEB_SITE.WEB_SITE_SK >= 2",18
1143,3166,2024-10-08-09.24.25.938017,"SELECT TPCDS.CATALOG_SALES.CS_PROMO_SK , TPCDS.DATE_DIM2.D_FY_YEAR FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_SALES_PRICE <= +00002.11 AND TPCDS.DATE_DIM2.D_MOY <= 8",856
1144,3168,2024-10-08-09.24.39.335370,"SELECT TPCDS.CATALOG_PAGE.CP_CATALOG_NUMBER , TPCDS.DATE_DIM2.D_DOM FROM TPCDS.CATALOG_PAGE INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_PAGE.CP_END_DATE_SK WHERE TPCDS.DATE_DIM2.D_MOY = 1 AND TPCDS.CATALOG_PAGE.CP_CATALOG_NUMBER >= 37",99
1145,3170,2024-10-08-09.24.53.236279,"SELECT TPCDS.CUSTOMER.C_CURRENT_HDEMO_SK , TPCDS.DATE_DIM2.D_SAME_DAY_LY FROM TPCDS.CUSTOMER INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CUSTOMER.C_FIRST_SHIPTO_DATE_SK WHERE TPCDS.DATE_DIM2.D_SAME_DAY_LY >= 2414873 AND TPCDS.CUSTOMER.C_BIRTH_MONTH <= 3",262
1146,3176,2024-10-08-09.25.44.613858,"SELECT TPCDS.CATALOG_SALES.CS_NET_PROFIT , TPCDS.DATE_DIM2.D_DOW FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.DATE_DIM2.D_FY_YEAR >= 1923 AND TPCDS.CATALOG_SALES.CS_SHIP_CUSTOMER_SK <= 33557",843
1147,3179,2024-10-08-09.26.09.047025,"SELECT TPCDS.DATE_DIM2.D_YEAR , TPCDS.WEB_SALES.WS_SHIP_CDEMO_SK FROM TPCDS.DATE_DIM2 INNER JOIN TPCDS.WEB_SALES ON TPCDS.WEB_SALES.WS_SHIP_DATE_SK = TPCDS.DATE_DIM2.D_DATE_SK WHERE TPCDS.WEB_SALES.WS_NET_PAID_INC_TAX <= +00266.55 AND TPCDS.WEB_SALES.WS_COUPON_AMT <= +01474.75",945
1148,3180,2024-10-08-09.26.16.274789,"SELECT TPCDS.CATALOG_PAGE.CP_END_DATE_SK , TPCDS.DATE_DIM2.D_WEEK_SEQ FROM TPCDS.CATALOG_PAGE INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_PAGE.CP_END_DATE_SK WHERE TPCDS.CATALOG_PAGE.CP_CATALOG_PAGE_NUMBER >= 50 AND TPCDS.DATE_DIM2.D_MOY = 7",60
1149,3181,2024-10-08-09.26.23.297711,"SELECT TPCDS.WEB_SALES.WS_BILL_HDEMO_SK , TPCDS.DATE_DIM2.D_SAME_DAY_LQ FROM TPCDS.WEB_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.WEB_SALES.WS_SHIP_DATE_SK WHERE TPCDS.WEB_SALES.WS_SHIP_DATE_SK >= 2452645 AND TPCDS.WEB_SALES.WS_SALES_PRICE <= +00009.38",138
1150,3182,2024-10-08-09.26.30.973912,"SELECT TPCDS.DATE_DIM2.D_FY_WEEK_SEQ , TPCDS.WEB_SALES.WS_PROMO_SK FROM TPCDS.DATE_DIM2 INNER JOIN TPCDS.WEB_SALES ON TPCDS.WEB_SALES.WS_SHIP_DATE_SK = TPCDS.DATE_DIM2.D_DATE_SK WHERE TPCDS.WEB_SALES.WS_EXT_SHIP_COST <= +00039.06 AND TPCDS.WEB_SALES.WS_EXT_SALES_PRICE >= +00478.78",333
1151,3185,2024-10-08-09.26.52.916415,"SELECT TPCDS.CATALOG_SALES.CS_EXT_SHIP_COST , TPCDS.DATE_DIM2.D_MONTH_SEQ FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.DATE_DIM2.D_DOW >= 0 AND TPCDS.CATALOG_SALES.CS_QUANTITY = 64",225
1152,3186,2024-10-08-09.27.01.713564,"SELECT TPCDS.CUSTOMER.C_FIRST_SHIPTO_DATE_SK , TPCDS.DATE_DIM2.D_FIRST_DOM FROM TPCDS.CUSTOMER INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CUSTOMER.C_FIRST_SHIPTO_DATE_SK WHERE TPCDS.DATE_DIM2.D_QUARTER_SEQ >= 173 AND TPCDS.DATE_DIM2.D_SAME_DAY_LQ <= 2461926",414
1153,3188,2024-10-08-09.27.15.595531,"SELECT TPCDS.WEB_SITE.WEB_COMPANY_ID , TPCDS.DATE_DIM2.D_FIRST_DOM FROM TPCDS.WEB_SITE INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.WEB_SITE.WEB_CLOSE_DATE_SK WHERE TPCDS.DATE_DIM2.D_DATE_SK <= 2488070 AND TPCDS.DATE_DIM2.D_YEAR >= 1942",18
1154,3194,2024-10-08-09.28.00.921151,"SELECT TPCDS.WEB_SALES.WS_PROMO_SK , TPCDS.DATE_DIM2.D_FY_QUARTER_SEQ FROM TPCDS.WEB_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.WEB_SALES.WS_SHIP_DATE_SK WHERE TPCDS.WEB_SALES.WS_BILL_ADDR_SK >= 1501 AND TPCDS.DATE_DIM2.D_DOW = 0",149
1155,3195,2024-10-08-09.28.08.582107,"SELECT TPCDS.CUSTOMER.C_BIRTH_YEAR , TPCDS.DATE_DIM2.D_FY_WEEK_SEQ FROM TPCDS.CUSTOMER INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CUSTOMER.C_FIRST_SHIPTO_DATE_SK WHERE TPCDS.CUSTOMER.C_CURRENT_CDEMO_SK >= 734938 AND TPCDS.DATE_DIM2.D_FY_QUARTER_SEQ >= 295",704
1156,3196,2024-10-08-09.28.15.541876,"SELECT TPCDS.DATE_DIM2.D_SAME_DAY_LY , TPCDS.WEB_SITE.WEB_OPEN_DATE_SK FROM TPCDS.DATE_DIM2 INNER JOIN TPCDS.WEB_SITE ON TPCDS.WEB_SITE.WEB_CLOSE_DATE_SK = TPCDS.DATE_DIM2.D_DATE_SK WHERE TPCDS.DATE_DIM2.D_DOM >= 12 AND TPCDS.DATE_DIM2.D_LAST_DOM >= 2438454",18
1157,3201,2024-10-08-09.28.53.702834,"SELECT TPCDS.CATALOG_SALES.CS_NET_PAID_INC_TAX , TPCDS.DATE_DIM2.D_DOW FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_BILL_ADDR_SK >= 42200 AND TPCDS.CATALOG_SALES.CS_ORDER_NUMBER >= 9529",945
1158,3203,2024-10-08-09.29.07.727130,"SELECT TPCDS.CATALOG_PAGE.CP_END_DATE_SK , TPCDS.DATE_DIM2.D_FY_YEAR FROM TPCDS.CATALOG_PAGE INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_PAGE.CP_END_DATE_SK WHERE TPCDS.CATALOG_PAGE.CP_START_DATE_SK <= 2451727 AND TPCDS.DATE_DIM2.D_MOY = 10",62
1159,3205,2024-10-08-09.29.22.989445,"SELECT TPCDS.WEB_SALES.WS_NET_PROFIT , TPCDS.DATE_DIM2.D_MOY FROM TPCDS.WEB_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.WEB_SALES.WS_SHIP_DATE_SK WHERE TPCDS.DATE_DIM2.D_FY_YEAR >= 1953 AND TPCDS.WEB_SALES.WS_BILL_CUSTOMER_SK <= 11404",701
1160,3213,2024-10-08-09.30.18.200351,"SELECT TPCDS.CATALOG_PAGE.CP_START_DATE_SK , TPCDS.DATE_DIM2.D_LAST_DOM FROM TPCDS.CATALOG_PAGE INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_PAGE.CP_END_DATE_SK WHERE TPCDS.CATALOG_PAGE.CP_CATALOG_PAGE_NUMBER <= 19 AND TPCDS.DATE_DIM2.D_DOW = 3",35
1161,3221,2024-10-08-09.31.18.637133,"SELECT TPCDS.CATALOG_SALES.CS_EXT_SHIP_COST , TPCDS.DATE_DIM2.D_YEAR FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK >= 2451989 AND TPCDS.DATE_DIM2.D_DOW <= 2",247
1162,3227,2024-10-08-09.32.02.404247,"SELECT TPCDS.CUSTOMER.C_CURRENT_CDEMO_SK , TPCDS.DATE_DIM2.D_WEEK_SEQ FROM TPCDS.CUSTOMER INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CUSTOMER.C_FIRST_SHIPTO_DATE_SK WHERE TPCDS.DATE_DIM2.D_YEAR <= 2090 AND TPCDS.DATE_DIM2.D_FY_QUARTER_SEQ <= 497",682
1163,3228,2024-10-08-09.32.12.238963,"SELECT TPCDS.WEB_SALES.WS_SOLD_DATE_SK , TPCDS.DATE_DIM2.D_SAME_DAY_LY FROM TPCDS.WEB_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.WEB_SALES.WS_SHIP_DATE_SK WHERE TPCDS.WEB_SALES.WS_NET_PROFIT >= -00197.54 AND TPCDS.WEB_SALES.WS_SHIP_HDEMO_SK >= 4086",945
1164,3233,2024-10-08-09.32.49.565226,"SELECT TPCDS.DATE_DIM2.D_WEEK_SEQ , TPCDS.CATALOG_SALES.CS_SOLD_DATE_SK FROM TPCDS.DATE_DIM2 INNER JOIN TPCDS.CATALOG_SALES ON TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK = TPCDS.DATE_DIM2.D_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_SHIP_CUSTOMER_SK <= 9518 AND TPCDS.CATALOG_SALES.CS_SOLD_TIME_SK >= 47477",845
1165,3234,2024-10-08-09.32.56.836610,"SELECT TPCDS.CUSTOMER.C_CURRENT_ADDR_SK , TPCDS.DATE_DIM2.D_DOM FROM TPCDS.CUSTOMER INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CUSTOMER.C_FIRST_SHIPTO_DATE_SK WHERE TPCDS.DATE_DIM2.D_QOY <= 1 AND TPCDS.DATE_DIM2.D_QUARTER_SEQ <= 554",176
1166,3235,2024-10-08-09.33.05.637786,"SELECT TPCDS.CUSTOMER.C_CUSTOMER_SK , TPCDS.DATE_DIM2.D_MONTH_SEQ FROM TPCDS.CUSTOMER INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CUSTOMER.C_FIRST_SHIPTO_DATE_SK WHERE TPCDS.DATE_DIM2.D_FY_QUARTER_SEQ <= 623 AND TPCDS.DATE_DIM2.D_MOY <= 10",620
1167,3239,2024-10-08-09.33.35.885457,"SELECT TPCDS.CUSTOMER.C_CURRENT_ADDR_SK , TPCDS.DATE_DIM2.D_FIRST_DOM FROM TPCDS.CUSTOMER INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CUSTOMER.C_FIRST_SHIPTO_DATE_SK WHERE TPCDS.DATE_DIM2.D_FY_WEEK_SEQ <= 10373 AND TPCDS.DATE_DIM2.D_DOM >= 1",943
1168,3242,2024-10-08-09.33.57.756670,"SELECT TPCDS.CATALOG_SALES.CS_NET_PAID_INC_SHIP , TPCDS.DATE_DIM2.D_DOW FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_NET_PAID >= +08517.34 AND TPCDS.CATALOG_SALES.CS_SHIP_HDEMO_SK <= 1858",230
1169,3247,2024-10-08-09.34.34.962646,"SELECT TPCDS.WEB_SALES.WS_WEB_SITE_SK , TPCDS.DATE_DIM2.D_QUARTER_SEQ FROM TPCDS.WEB_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.WEB_SALES.WS_SHIP_DATE_SK WHERE TPCDS.WEB_SALES.WS_BILL_ADDR_SK >= 29227 AND TPCDS.DATE_DIM2.D_DOM <= 6",244
1170,3248,2024-10-08-09.34.50.516248,"SELECT TPCDS.WEB_SALES.WS_SHIP_DATE_SK , TPCDS.DATE_DIM2.D_SAME_DAY_LQ FROM TPCDS.WEB_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.WEB_SALES.WS_SHIP_DATE_SK WHERE TPCDS.WEB_SALES.WS_WAREHOUSE_SK <= 4 AND TPCDS.WEB_SALES.WS_EXT_WHOLESALE_COST >= +00280.56",945
1171,3249,2024-10-08-09.34.58.480987,"SELECT TPCDS.WEB_SALES.WS_COUPON_AMT , TPCDS.DATE_DIM2.D_FY_WEEK_SEQ FROM TPCDS.WEB_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.WEB_SALES.WS_SHIP_DATE_SK WHERE TPCDS.WEB_SALES.WS_BILL_CUSTOMER_SK >= 68366 AND TPCDS.WEB_SALES.WS_EXT_DISCOUNT_AMT <= +00313.02",604
1172,3250,2024-10-08-09.35.06.421143,"SELECT TPCDS.CUSTOMER.C_FIRST_SHIPTO_DATE_SK , TPCDS.DATE_DIM2.D_WEEK_SEQ FROM TPCDS.CUSTOMER INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CUSTOMER.C_FIRST_SHIPTO_DATE_SK WHERE TPCDS.DATE_DIM2.D_FY_YEAR <= 2028 AND TPCDS.CUSTOMER.C_CUSTOMER_SK >= 63228",337
1173,3252,2024-10-08-09.35.22.920008,"SELECT TPCDS.CUSTOMER.C_BIRTH_MONTH , TPCDS.DATE_DIM2.D_MOY FROM TPCDS.CUSTOMER INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CUSTOMER.C_FIRST_SHIPTO_DATE_SK WHERE TPCDS.DATE_DIM2.D_DATE_SK <= 2457313 AND TPCDS.DATE_DIM2.D_FY_QUARTER_SEQ <= 639",542
1174,3255,2024-10-08-09.35.43.914614,"SELECT TPCDS.DATE_DIM2.D_DOM , TPCDS.WEB_SITE.WEB_MKT_ID FROM TPCDS.DATE_DIM2 INNER JOIN TPCDS.WEB_SITE ON TPCDS.WEB_SITE.WEB_CLOSE_DATE_SK = TPCDS.DATE_DIM2.D_DATE_SK WHERE TPCDS.WEB_SITE.WEB_COMPANY_ID >= 4 AND TPCDS.DATE_DIM2.D_QOY <= 4",18
